ppTime.la,ppTime.ab,ppTime.bo,ppTime.or,ppTime.ra,ppTime.at,ppTime.to,ppTime.oi,ppTime.ir,ppTime.re,ppTime.eg,ppTime.gr,ppTime.re,ppTime.ey,ppTime.yc,prTime.la,prTime.ab,prTime.bo,prTime.or,prTime.ra,prTime.at,prTime.to,prTime.oi,prTime.ir,prTime.re,prTime.eg,prTime.gr,prTime.re,prTime.ey,prTime.yc,rpTime.la,rpTime.ab,rpTime.bo,rpTime.or,rpTime.ra,rpTime.at,rpTime.to,rpTime.oi,rpTime.ir,rpTime.re,rpTime.eg,rpTime.gr,rpTime.re,rpTime.ey,rpTime.yc,rrTime.la,rrTime.ab,rrTime.bo,rrTime.or,rrTime.ra,rrTime.at,rrTime.to,rrTime.oi,rrTime.ir,rrTime.re,rrTime.eg,rrTime.gr,rrTime.re,rrTime.ey,rrTime.yc,subject,time_to_type
2203168,600864,1101584,1602304,801152,2303312,1001440,2603744,1402016,1702448,1602304,1802592,1602304,1301872,1602304,3204608,1902736,1802592,3204608,2203168,3304752,2002880,3605184,2002880,2804032,2403456,2904176,2403456,2303312,2103024,1201728,-400576,-200288,901296,-801152,901296,0,1602304,400576,1101584,500720,1001440,500720,500720,600864,2203168,901296,500720,2503600,600864,1902736,1001440,2603744,1001440,2203168,1301872,2103024,1301872,1502160,1101584,1,30644064
2103024,500720,2703888,1602304,2103024,3404896,1402016,2603744,1402016,1201728,1702448,1802592,1702448,2103024,1502160,3104464,1702448,3404896,2503600,3104464,4105904,2303312,3505040,2103024,2203168,2603744,2804032,2603744,3104464,2103024,901296,-500720,1502160,901296,1201728,2403456,701008,1702448,500720,500720,701008,901296,701008,1201728,500720,1902736,701008,2203168,1802592,2203168,3104464,1602304,2603744,1201728,1502160,1602304,1902736,1602304,2203168,1101584,1,33748528
2203168,701008,1402016,1301872,2303312,3304752,901296,3004320,1502160,1402016,1602304,1602304,1402016,1101584,2002880,3304752,1902736,2103024,2303312,3204608,4005760,1902736,3905616,2203168,2303312,3104464,2603744,2203168,2203168,2603744,1402016,-400576,200288,600864,1301872,2403456,200288,2002880,600864,701008,701008,100144,400576,300432,901296,2503600,801152,901296,1602304,2203168,3104464,1201728,2904176,1301872,1602304,2203168,1101584,1201728,1402016,1502160,1,29442336
2103024,701008,1902736,1702448,1602304,2603744,1502160,3004320,1502160,1402016,1402016,2203168,1101584,2203168,1602304,3304752,1902736,2603744,2703888,2603744,3404896,2703888,4005760,2203168,2303312,2403456,3104464,2103024,2904176,2403456,1101584,-500720,701008,1001440,600864,1602304,701008,1802592,500720,701008,500720,1201728,200288,1201728,901296,2303312,701008,1402016,2002880,1602304,2403456,1902736,2804032,1201728,1602304,1502160,2103024,1201728,1902736,1702448,1,31545360
2002880,600864,1201728,1602304,1502160,3004320,1101584,2904176,1602304,1502160,1702448,1702448,1101584,1502160,1602304,2904176,1802592,1902736,2503600,2403456,3605184,2203168,3905616,2303312,2603744,3104464,2603744,1902736,2503600,2203168,1101584,-300432,0,901296,600864,2103024,500720,1802592,600864,801152,600864,300432,200288,701008,600864,2002880,901296,701008,1802592,1502160,2703888,1602304,2804032,1301872,1902736,2002880,1201728,1001440,1702448,1201728,1,29642624
1902736,500720,1702448,1301872,1502160,2403456,1402016,2804032,1702448,1201728,1402016,1902736,901296,1502160,1602304,2904176,1702448,2603744,2303312,2403456,3104464,2603744,3805472,2403456,2103024,2403456,2603744,1602304,2403456,2403456,901296,-500720,500720,400576,500720,1502160,701008,1602304,701008,500720,500720,901296,200288,801152,701008,1902736,701008,1402016,1402016,1402016,2203168,1902736,2603744,1402016,1402016,1502160,1602304,901296,1702448,1502160,1,28440896
2103024,600864,1201728,1802592,1702448,2804032,1402016,2904176,1402016,1502160,1402016,2002880,1001440,1301872,1702448,3004320,1602304,2002880,2703888,2503600,3605184,2703888,3905616,2103024,2403456,2503600,2804032,1802592,2203168,2203168,1301872,-300432,200288,1001440,801152,2002880,600864,1602304,400576,801152,500720,901296,200288,500720,801152,2203168,701008,1001440,1902736,1602304,2804032,1902736,2603744,1101584,1702448,1602304,1702448,1001440,1402016,1301872,1,30043200
1902736,500720,1802592,1402016,1201728,2603744,1201728,3104464,1201728,1402016,1602304,2203168,1001440,1602304,1402016,2804032,1602304,2503600,2203168,2203168,3304752,2103024,4105904,2203168,2303312,2804032,2904176,1902736,2603744,2103024,1201728,-400576,701008,701008,400576,1602304,500720,2203168,200288,400576,701008,1001440,300432,701008,400576,2103024,701008,1402016,1502160,1402016,2303312,1402016,3204608,1201728,1301872,1902736,1702448,1201728,1702448,1101584,1,29141904
2103024,600864,1201728,1702448,3104464,2403456,1402016,3505040,1502160,1402016,1402016,1802592,1001440,1702448,1802592,3004320,1702448,2103024,2703888,3905616,3204608,2503600,4406336,2203168,2403456,2503600,2703888,1802592,2603744,2503600,1201728,-300432,100144,801152,2103024,1602304,600864,2403456,600864,701008,400576,701008,100144,901296,901296,2103024,801152,1001440,1802592,2904176,2403456,1702448,3304752,1301872,1702448,1502160,1602304,901296,1802592,1602304,1,33247808
1902736,500720,1402016,1402016,1402016,2603744,1201728,3104464,1201728,1402016,1702448,1802592,1201728,1702448,1402016,2904176,1702448,2303312,2303312,2103024,3404896,2203168,4005760,1902736,2403456,2804032,2804032,1902736,2703888,1902736,1001440,-500720,200288,500720,500720,1902736,400576,2103024,300432,701008,701008,701008,200288,1001440,400576,2002880,701008,1101584,1402016,1201728,2703888,1402016,3004320,1001440,1702448,1802592,1702448,901296,2002880,901296,1,31144784
2002880,500720,1101584,1502160,1402016,2703888,1101584,2703888,1201728,1602304,1301872,1702448,1101584,1502160,1602304,2804032,1502160,1902736,2503600,2303312,3404896,2103024,3605184,1802592,2403456,2303312,2603744,1902736,2303312,2303312,1101584,-300432,100144,701008,400576,1802592,400576,1702448,300432,1001440,500720,701008,200288,701008,801152,1902736,701008,901296,1702448,1301872,2503600,1402016,2603744,901296,1802592,1502160,1602304,1001440,1502160,1502160,1,29041760
2203168,400576,2703888,1802592,1702448,2904176,1301872,3104464,1201728,1502160,1602304,1602304,1201728,1702448,1402016,3104464,1602304,3605184,2804032,2403456,3605184,2303312,4105904,2203168,2403456,2503600,2603744,2203168,2703888,2103024,1201728,-500720,1502160,901296,701008,2203168,600864,2103024,200288,500720,701008,701008,200288,701008,400576,2103024,701008,2403456,1902736,1402016,2904176,1602304,3104464,1201728,1402016,1602304,1702448,1201728,1702448,1101584,1,31144784
2403456,600864,1402016,1602304,801152,2103024,1201728,3004320,1702448,1502160,1602304,1802592,1101584,1602304,1502160,3505040,1802592,2203168,2904176,2203168,3204608,2303312,4306192,2503600,2603744,2703888,2703888,2103024,2603744,2203168,1402016,-500720,200288,801152,-500720,701008,100144,1902736,400576,701008,500720,701008,200288,600864,500720,2503600,701008,1001440,2103024,901296,1802592,1201728,3204608,1201728,1802592,1602304,1602304,1201728,1602304,1201728,1,31845792
1902736,500720,1702448,1301872,1502160,2603744,1402016,3104464,1402016,1402016,1502160,2103024,1201728,3104464,1301872,2904176,1702448,2403456,2303312,2203168,3304752,2603744,4005760,2103024,2203168,2403456,2503600,2103024,3805472,2002880,1001440,-500720,500720,600864,500720,1902736,701008,1902736,500720,701008,701008,1201728,801152,2203168,600864,2002880,701008,1201728,1602304,1201728,2603744,1902736,2804032,1201728,1502160,1602304,1602304,1702448,2904176,1301872,1,34649824
2203168,600864,1602304,1802592,901296,2603744,1402016,3004320,1602304,1802592,1802592,1802592,1702448,1502160,1802592,3204608,1902736,2303312,3304752,2203168,3505040,2503600,4105904,2503600,3004320,2904176,3004320,2603744,2603744,2403456,1301872,-400576,300432,1101584,-600864,1301872,500720,1902736,500720,901296,600864,701008,500720,600864,701008,2303312,901296,1001440,2603744,701008,2203168,1602304,3004320,1402016,2103024,1702448,1902736,1402016,1702448,1301872,1,36552560
2103024,701008,2303312,1702448,500720,2403456,1101584,2904176,1402016,1502160,1301872,1902736,1001440,1902736,1402016,3304752,1802592,3104464,2904176,1702448,3104464,2103024,3805472,2103024,2303312,2303312,2703888,2002880,2904176,2103024,1201728,-500720,1201728,901296,-701008,1201728,400576,1902736,500720,801152,500720,901296,200288,901296,400576,2403456,600864,2002880,2103024,500720,1902736,1402016,2804032,1201728,1602304,1502160,1702448,1201728,1902736,1101584,1,29141904
2203168,500720,1602304,1402016,701008,2203168,1201728,3004320,1502160,1402016,1201728,2603744,2603744,2403456,1802592,3204608,1702448,2303312,2904176,1902736,3104464,2403456,4005760,2203168,2403456,2403456,3705328,3505040,3505040,2503600,1201728,-500720,400576,701008,-801152,1001440,300432,1802592,500720,701008,200288,1402016,1502160,1502160,701008,2203168,701008,1101584,2203168,400576,1902736,1502160,2804032,1201728,1702448,1402016,2503600,2403456,2603744,1402016,1,30644064
1902736,801152,1301872,1301872,500720,2203168,1101584,3104464,1602304,1702448,1502160,1802592,1802592,4406336,1201728,3004320,1902736,2103024,2603744,2002880,3304752,2203168,4306192,2703888,2804032,2603744,2804032,2703888,5407776,1902736,901296,-300432,200288,500720,-801152,701008,0,2002880,400576,600864,400576,701008,801152,3505040,200288,2002880,801152,1001440,1802592,701008,1802592,1101584,3204608,1502160,1702448,1502160,1702448,1702448,4506480,901296,1,30644064
2002880,701008,1602304,1502160,400576,2603744,1001440,2904176,1602304,1402016,1402016,1902736,1402016,1702448,1902736,3104464,1602304,2403456,2603744,1602304,3605184,2203168,3705328,2303312,2303312,2603744,2904176,2403456,2603744,2403456,1001440,-400576,701008,701008,-701008,1402016,0,1702448,801152,701008,500720,701008,400576,701008,1001440,2103024,500720,1502160,1802592,500720,2403456,1201728,2503600,1502160,1602304,1702448,1702448,1402016,1602304,1502160,1,29442336
2203168,801152,1602304,1301872,701008,2403456,1201728,3204608,1902736,1702448,1602304,1702448,1301872,1802592,1502160,3404896,1802592,2303312,2603744,2002880,3605184,2603744,4506480,2703888,2703888,2503600,2904176,2403456,2904176,2203168,1001440,-400576,600864,600864,-600864,1101584,0,1802592,600864,901296,600864,801152,100144,701008,400576,2203168,600864,1301872,1902736,701008,2303312,1402016,3104464,1402016,1902736,1502160,2002880,1201728,1802592,1101584,1,33748528
2303312,2103024,1502160,1201728,1001440,2904176,1602304,1702448,2603744,1602304,1301872,2403456,4506480,1802592,2103024,3304752,3004320,2103024,2503600,2303312,3605184,2904176,2403456,3404896,2904176,2503600,4005760,5307632,3104464,2703888,1201728,1101584,600864,600864,-300432,1602304,901296,400576,1902736,801152,0,1201728,2904176,1001440,801152,2203168,2002880,1201728,1902736,1001440,2303312,2203168,1101584,2703888,2103024,1201728,2804032,3705328,2303312,1402016,2,33548240
2002880,1902736,1702448,1201728,1001440,2303312,1201728,1902736,2603744,1402016,1402016,2703888,1802592,1502160,1902736,3004320,2904176,2403456,2403456,2203168,3304752,2603744,2603744,3505040,2603744,2603744,3905616,2503600,2703888,2603744,1101584,901296,701008,500720,-200288,1101584,200288,500720,1902736,500720,200288,1502160,600864,801152,701008,2103024,1902736,1402016,1702448,1001440,2103024,1602304,1201728,2804032,1702448,1402016,2703888,1301872,2002880,1402016,2,29642624
2203168,1902736,1301872,1301872,801152,2503600,1301872,1602304,2703888,801152,1502160,2203168,1802592,2002880,2002880,3004320,2904176,1802592,2603744,2002880,3204608,2503600,2203168,3304752,2103024,2503600,3404896,2503600,3204608,2603744,1001440,1101584,300432,801152,-500720,1301872,600864,400576,2103024,200288,200288,1201728,600864,1301872,801152,1802592,2103024,801152,2103024,701008,2002880,1802592,1001440,2703888,1502160,1201728,2403456,1301872,2503600,1402016,2,29141904
2303312,2103024,1001440,2103024,701008,2904176,1902736,1301872,2904176,1702448,1902736,2303312,2203168,901296,2403456,3204608,2904176,1702448,3004320,1902736,3605184,3104464,2103024,3605184,2703888,3004320,3505040,2904176,2403456,2804032,1201728,1201728,200288,1402016,-200288,1702448,1201728,100144,2103024,1001440,901296,1201728,1001440,200288,901296,2103024,2002880,901296,2303312,1001440,2403456,2403456,901296,2804032,2002880,2002880,2403456,1702448,1702448,1301872,2,31745648
2303312,2403456,1402016,1802592,901296,2203168,1201728,1902736,2603744,1101584,1301872,2303312,3004320,2002880,1702448,3204608,3705328,2103024,3004320,1902736,2904176,2503600,2603744,3204608,2403456,2303312,3605184,3805472,3104464,2403456,1101584,1502160,100144,1101584,-300432,1201728,500720,600864,1902736,500720,0,1301872,1702448,1201728,600864,2002880,2804032,801152,2303312,701008,1902736,1802592,1301872,2503600,1802592,1001440,2603744,2503600,2303312,1301872,2,31445216
2303312,1902736,1201728,1902736,701008,2403456,1702448,1702448,2503600,1402016,1502160,2103024,1602304,2002880,1902736,3304752,2904176,2002880,3104464,1902736,3404896,2904176,2403456,3204608,2403456,2403456,3304752,2603744,3204608,2603744,1201728,901296,200288,1101584,-500720,1201728,701008,500720,1802592,701008,500720,1201728,400576,1001440,701008,2203168,1902736,1001440,2303312,701008,2203168,1902736,1201728,2503600,1702448,1402016,2403456,1402016,2203168,1402016,2,30043200
2203168,1902736,1502160,1201728,801152,3004320,2002880,1301872,2503600,1001440,1301872,2002880,1602304,1301872,1802592,3104464,2804032,2203168,2403456,2103024,3805472,3304752,2002880,3204608,2103024,2103024,3104464,2303312,2403456,2403456,1201728,1001440,600864,500720,-400576,1702448,1201728,0,1802592,300432,200288,1201728,500720,600864,701008,2103024,1902736,1301872,1702448,901296,2503600,2503600,701008,2503600,1402016,1001440,2303312,1201728,1702448,1301872,2,28741328
2703888,1802592,1402016,1702448,701008,2804032,2403456,2002880,2303312,1201728,901296,2703888,2103024,1602304,1702448,3404896,2503600,2203168,2703888,1902736,3605184,3605184,2403456,3104464,2103024,2103024,4105904,2804032,2603744,2203168,1502160,1101584,701008,901296,-300432,1602304,1602304,801152,1902736,400576,0,1502160,701008,901296,701008,2203168,1802592,1502160,1902736,901296,2403456,2804032,1201728,2703888,1301872,1201728,2904176,1402016,1902736,1201728,2,31144784
2303312,2002880,1201728,1902736,901296,2603744,1101584,1902736,2703888,1702448,1402016,2303312,3204608,5608064,901296,3104464,2904176,1802592,3204608,2103024,3204608,2203168,2703888,3404896,2603744,2303312,3605184,3905616,6609504,1402016,1201728,1201728,300432,1301872,-400576,1402016,500720,801152,1902736,1001440,500720,1402016,1902736,4907056,-100144,2002880,2103024,901296,2603744,801152,2002880,1602304,1602304,2603744,1902736,1402016,2703888,2603744,5908496,400576,2,34749968
