adaptive,base,impostor_rate,len_attacks,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
False,CMU,0.3,,OCSVM,40,False,0.0,Random,0.4931529874709054,0.12045392077851069,0.4096757788708253,0.40267617919574433,0.6040182461873639,0.4186039751246062
False,CMU,0.3,,OCSVM,40,False,0.0,GenFirst,0.49162267997310566,0.1285228356532979,0.41761656815836384,0.4047528482852216,0.5991380718954249,0.4245355002363926
False,CMU,0.3,,OCSVM,40,False,0.0,ImpFirst,0.49040438663503677,0.14165327568696273,0.4737772833748066,0.410296355988039,0.5454139433551198,0.4307029576642208
False,CMU,0.3,,OCSVM,40,False,0.5,Random,0.4877612317521374,0.09756764360695529,0.459612340417294,0.40397219547973257,0.5648651960784313,0.4312562104895773
False,CMU,0.3,,OCSVM,40,False,0.5,GenFirst,0.48726129839229687,0.10643159641921765,0.4621536014724869,0.3907266179613143,0.5633238017429194,0.42596385408815823
False,CMU,0.3,,OCSVM,40,False,0.5,ImpFirst,0.492110273269329,0.10500749382637245,0.46077128352670144,0.3879526729061976,0.5550081699346405,0.42582440379050074
False,CMU,0.3,,OCSVM,40,False,1.0,Random,0.4763047063588859,0.11827728509619856,0.4792097593955179,0.4281733712643244,0.5681808278867102,0.4248524067118854
False,CMU,0.3,,OCSVM,40,False,1.0,GenFirst,0.47148334154235855,0.12806550295725624,0.4831376197475269,0.42452555822483057,0.573895697167756,0.4242432222993231
False,CMU,0.3,,OCSVM,40,False,1.0,ImpFirst,0.4753363773739161,0.12793362996706864,0.47904129753974956,0.41948030958215254,0.5702859477124184,0.4238420411581728
False,CMU,0.3,,OCSVM,40,True,0.0,Random,0.4995254494673999,0.12008576136991646,0.4418804736142198,0.41123003983630824,0.5590686274509804,0.4260197650139614
False,CMU,0.3,,OCSVM,40,True,0.0,GenFirst,0.49388413658924496,0.12941415666104036,0.4377491560154099,0.4118679450597998,0.5744825708061001,0.4296555364728939
False,CMU,0.3,,OCSVM,40,True,0.0,ImpFirst,0.4938584945541215,0.13333343436318648,0.4192451568612559,0.40319237260063434,0.5930378540305011,0.42506568732639427
False,CMU,0.3,,OCSVM,40,True,0.5,Random,0.4911631937463981,0.09799040265260528,0.4603887541194043,0.39043717746096046,0.5572848583877996,0.4265524245992132
