adaptive,base,impostor_rate,method,model_size,normalize,rate_external_impostor,sampling,Bacc_mean,Bacc_std,FMR_mean,FMR_std,FNMR_mean,FNMR_std
Sliding Window,easy,0.3,Hocquet,40,False,0.5,Random,0.782036909897053,0.1642896037984707,0.3913489813714487,0.3248290304124525,0.04457719883444521,0.1566712150437598
Sliding Window,easy,0.3,Hocquet,40,False,0.5,GenFirst,0.8077813515582147,0.16001075214971408,0.3366188780506591,0.3024648006995845,0.0478184188329116,0.15803172704341914
Sliding Window,easy,0.3,Hocquet,40,False,0.5,ImpFirst,0.7628603588815118,0.16417442165997645,0.4339545372020862,0.3306709814082796,0.04032474503488997,0.15457998022898667
Sliding Window,easy,0.5,Hocquet,40,False,0.5,Random,0.7641169526383579,0.16494740966372926,0.4291375578012687,0.3319703259266218,0.04262853692201519,0.15604786217714198
Sliding Window,easy,0.5,Hocquet,40,False,0.5,GenFirst,0.7995465221771477,0.16567703679768073,0.3530885368127932,0.3156909939164792,0.0478184188329116,0.15803172704341914
Sliding Window,easy,0.5,Hocquet,40,False,0.5,ImpFirst,0.7456636482284842,0.16984366742905452,0.468865317222964,0.34325617327531394,0.03980738632006748,0.15068978319056564
Sliding Window,easy,0.7,Hocquet,40,False,0.5,Random,0.7303530395640083,0.16349812467012526,0.4925509059272137,0.3278539520520379,0.04674301494476934,0.1559141976360362
Sliding Window,easy,0.7,Hocquet,40,False,0.5,GenFirst,0.7828865080724869,0.16236118278451928,0.3864085650221145,0.3106547460406917,0.0478184188329116,0.15803172704341914
Sliding Window,easy,0.7,Hocquet,40,False,0.5,ImpFirst,0.6930602291935734,0.220411226557995,0.5020177007917257,0.3239331831911293,0.1118618408211276,0.24950000446392925
Sliding Window,strong,0.3,Hocquet,40,False,0.5,Random,0.793874601143623,0.16969221330850215,0.35795103815937146,0.3106608308684349,0.054299759553382745,0.1735231305877468
Sliding Window,strong,0.3,Hocquet,40,False,0.5,GenFirst,0.8232944204826753,0.1813589613644923,0.29581521230826785,0.30591505614687203,0.057595946726381526,0.1776441111084607
Sliding Window,strong,0.3,Hocquet,40,False,0.5,ImpFirst,0.7657177517307348,0.1712696107692366,0.42006289749345294,0.3334901694866142,0.048501599045077316,0.1616075608134327
Sliding Window,strong,0.5,Hocquet,40,False,0.5,Random,0.8088157900205003,0.16869983333519853,0.33732295616353586,0.3055213681557284,0.0450454637954638,0.14019780459089667
Sliding Window,strong,0.5,Hocquet,40,False,0.5,GenFirst,0.8362697320124857,0.17964466415556987,0.2698645892486472,0.2847171380936496,0.057595946726381526,0.1776441111084607
Sliding Window,strong,0.5,Hocquet,40,False,0.5,ImpFirst,0.7859118060884365,0.16045563150253672,0.3958201638002362,0.31928082756970394,0.032356224022890685,0.1096900137974506
Sliding Window,strong,0.7,Hocquet,40,False,0.5,Random,0.782030661231421,0.1742591679523484,0.3963655192139997,0.3259925455673982,0.03957315832315834,0.12162984630768756
Sliding Window,strong,0.7,Hocquet,40,False,0.5,GenFirst,0.8158437645727248,0.1937400370720669,0.3107165241281689,0.31117204168157625,0.057595946726381526,0.1776441111084607
Sliding Window,strong,0.7,Hocquet,40,False,0.5,ImpFirst,0.7552008531116178,0.1818903843971076,0.4436610050858527,0.3232508796629642,0.04593728869091188,0.1352997921737032
Sliding Window,logical,0.3,Hocquet,40,False,0.5,Random,0.8492539873125622,0.18067875094776384,0.21625514403292184,0.26455992487281665,0.08523688134195381,0.24280945631302295
Sliding Window,logical,0.3,Hocquet,40,False,0.5,GenFirst,0.8708748882737409,0.1823167762758932,0.1675025720164609,0.2472033605169249,0.09074765143605723,0.2531851292989206
Sliding Window,logical,0.3,Hocquet,40,False,0.5,ImpFirst,0.8186552168700417,0.1801539524221705,0.2817065329218107,0.28746391281072986,0.0809830333381058,0.23723428435248295
Sliding Window,logical,0.5,Hocquet,40,False,0.5,Random,0.8348269956693871,0.18319302729029147,0.259357379067524,0.3014835652922204,0.07098862959370206,0.20577980323075315
Sliding Window,logical,0.5,Hocquet,40,False,0.5,GenFirst,0.8539608757452959,0.1924973036572856,0.2013305970733507,0.2712587749566381,0.09074765143605723,0.2531851292989206
Sliding Window,logical,0.5,Hocquet,40,False,0.5,ImpFirst,0.8090518019956426,0.17017063734849006,0.327825339582586,0.3199139643788524,0.054071056426128895,0.1821189885109668
Sliding Window,logical,0.7,Hocquet,40,False,0.5,Random,0.8017652385375079,0.17925638423686813,0.336646294623495,0.3237762670336745,0.05982322830148917,0.17662678168468776
Sliding Window,logical,0.7,Hocquet,40,False,0.5,GenFirst,0.8261300268257414,0.19881398420463547,0.2569922949124601,0.29117817093904114,0.09074765143605723,0.2531851292989206
Sliding Window,logical,0.7,Hocquet,40,False,0.5,ImpFirst,0.7747081553735057,0.1815607462826981,0.3891444762920365,0.3168011610828316,0.0614392129609521,0.176687028348548
Sliding Window,CMU,0.3,Hocquet,40,False,0.5,Random,0.8062763489234076,0.14307444230391755,0.2926215940921824,0.28966017700561464,0.09482570806100216,0.07299842570137183
Sliding Window,CMU,0.3,Hocquet,40,False,0.5,GenFirst,0.8668404988257931,0.1154548298563014,0.1652024446142093,0.2250189710302982,0.1011165577342048,0.07442718783090682
Sliding Window,CMU,0.3,Hocquet,40,False,0.5,ImpFirst,0.6631089430721783,0.22629999213096424,0.36930226636108987,0.2564458307456419,0.3044798474945534,0.3332892131557518
Sliding Window,CMU,0.5,Hocquet,40,False,0.5,Random,0.6629561546840957,0.2435404243049617,0.4246595860566449,0.3353769246154036,0.24942810457516346,0.26980184229773563
Sliding Window,CMU,0.5,Hocquet,40,False,0.5,GenFirst,0.8227873093681917,0.1390473371241439,0.2533088235294117,0.27852334204167345,0.1011165577342048,0.07442718783090682
Sliding Window,CMU,0.5,Hocquet,40,False,0.5,ImpFirst,0.5325571895424838,0.269610779965189,0.4409722222222223,0.2919193226931571,0.4939133986928104,0.3768214832346428
Sliding Window,CMU,0.7,Hocquet,40,False,0.5,Random,0.5565202781218433,0.2575690037617087,0.4560634742574026,0.2963522585936567,0.4308959694989106,0.283035744459436
Sliding Window,CMU,0.7,Hocquet,40,False,0.5,GenFirst,0.7919012317547863,0.1344962798204127,0.31508097875622243,0.2737862208579258,0.1011165577342048,0.07442718783090682
Sliding Window,CMU,0.7,Hocquet,40,False,0.5,ImpFirst,0.5372519400754607,0.26304283248818583,0.4494204117880764,0.2626805013542358,0.4760757080610021,0.3791689314407384
Sliding Window,greyc,0.3,Hocquet,40,False,0.5,Random,0.8093329025314716,0.1709118094125677,0.3354740555497135,0.3610555860629892,0.045860139387343235,0.07559703904997565
Sliding Window,greyc,0.3,Hocquet,40,False,0.5,GenFirst,0.8242912146516267,0.16988446203782706,0.3016777736152736,0.35286095092581504,0.04973979708147298,0.07806699877042429
Sliding Window,greyc,0.3,Hocquet,40,False,0.5,ImpFirst,0.7917219787042856,0.18077464671707769,0.3723755962604647,0.3809719396400487,0.044180446330964254,0.07600097423730412
Sliding Window,greyc,0.5,Hocquet,40,False,0.5,Random,0.7978406119985724,0.1686408019017619,0.35897280408076965,0.35383744969600256,0.045345971922085775,0.07546757858525507
Sliding Window,greyc,0.5,Hocquet,40,False,0.5,GenFirst,0.8134704936717907,0.16795892376226704,0.32331921557494553,0.3501573744754972,0.04973979708147298,0.07806699877042429
Sliding Window,greyc,0.5,Hocquet,40,False,0.5,ImpFirst,0.7755108152399501,0.18473261943483235,0.3953838865389224,0.3685706024764257,0.05359448298117754,0.08577856603279066
Sliding Window,greyc,0.7,Hocquet,40,False,0.5,Random,0.7698892509507965,0.16613274457994315,0.4051948655380332,0.3290689075725782,0.055026632560373566,0.0799221874679121
Sliding Window,greyc,0.7,Hocquet,40,False,0.5,GenFirst,0.7980501945853469,0.153414166926471,0.3541598137478333,0.3234888642873673,0.04973979708147298,0.07806699877042429
Sliding Window,greyc,0.7,Hocquet,40,False,0.5,ImpFirst,0.7152485387277437,0.2449788632056329,0.423062925020955,0.32878876375482485,0.14643999752355746,0.24617579136589235
Não adaptativo,easy,0.3,Hocquet,40,False,0.5,Random,0.7679057474713645,0.16936088051322665,0.38987144731630025,0.3068347617183955,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.3,Hocquet,40,False,0.5,GenFirst,0.7679057474713645,0.16936088051322665,0.38987144731630025,0.3068347617183955,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.3,Hocquet,40,False,0.5,ImpFirst,0.7679057474713645,0.16936088051322665,0.38987144731630025,0.3068347617183955,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.5,Hocquet,40,False,0.5,Random,0.7697109210886862,0.16855693703226474,0.3862611000816569,0.30480077982054604,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.5,Hocquet,40,False,0.5,GenFirst,0.7697109210886862,0.16855693703226474,0.3862611000816569,0.30480077982054604,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.5,Hocquet,40,False,0.5,ImpFirst,0.7697109210886862,0.16855693703226474,0.3862611000816569,0.30480077982054604,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.7,Hocquet,40,False,0.5,Random,0.7789905666931878,0.15559530822795692,0.3677018088726537,0.2798532592298321,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.7,Hocquet,40,False,0.5,GenFirst,0.7789905666931878,0.15559530822795692,0.3677018088726537,0.2798532592298321,0.07431705774097079,0.19515623465011955
Não adaptativo,easy,0.7,Hocquet,40,False,0.5,ImpFirst,0.7789905666931878,0.15559530822795692,0.3677018088726537,0.2798532592298321,0.07431705774097079,0.19515623465011955
Não adaptativo,strong,0.3,Hocquet,40,False,0.5,Random,0.7580087607865386,0.17680933473702573,0.4014192854470632,0.32578057123381426,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.3,Hocquet,40,False,0.5,GenFirst,0.7580087607865386,0.17680933473702573,0.4014192854470632,0.32578057123381426,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.3,Hocquet,40,False,0.5,ImpFirst,0.7580087607865386,0.17680933473702573,0.4014192854470632,0.32578057123381426,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.5,Hocquet,40,False,0.5,Random,0.7867649041109185,0.16711574231180445,0.3439069987983032,0.28136614958954,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.5,Hocquet,40,False,0.5,GenFirst,0.7867649041109185,0.16711574231180445,0.3439069987983032,0.28136614958954,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.5,Hocquet,40,False,0.5,ImpFirst,0.7867649041109185,0.16711574231180445,0.3439069987983032,0.28136614958954,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.7,Hocquet,40,False,0.5,Random,0.7956865965723123,0.16274514991161051,0.3260636138755157,0.2670940878393445,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.7,Hocquet,40,False,0.5,GenFirst,0.7956865965723123,0.16274514991161051,0.3260636138755157,0.2670940878393445,0.08256319297985965,0.2213155818184031
Não adaptativo,strong,0.7,Hocquet,40,False,0.5,ImpFirst,0.7956865965723123,0.16274514991161051,0.3260636138755157,0.2670940878393445,0.08256319297985965,0.2213155818184031
Não adaptativo,logical,0.3,Hocquet,40,False,0.5,Random,0.8196420431588004,0.17691370586853364,0.26730324074074074,0.27294548784521483,0.09341267294165843,0.25657302607294497
